10000 data loaded from mnist_test_normalized.data
60000 data loaded from mnist_train_normalized.data
0 Accuracy: 0.0977 evaluated in 807ms
1 Accuracy: 0.1028, trained in 14559ms, evaluated in 796ms
2 Accuracy: 0.1009, trained in 12056ms, evaluated in 798ms
3 Accuracy: 0.098, trained in 12883ms, evaluated in 800ms
4 Accuracy: 0.1032, trained in 12102ms, evaluated in 794ms
5 Accuracy: 0.0958, trained in 11997ms, evaluated in 791ms
6 Accuracy: 0.1135, trained in 12104ms, evaluated in 799ms
7 Accuracy: 0.0974, trained in 15428ms, evaluated in 788ms
8 Accuracy: 0.1135, trained in 11797ms, evaluated in 777ms
9 Accuracy: 0.0958, trained in 11849ms, evaluated in 779ms
10 Accuracy: 0.0974, trained in 11832ms, evaluated in 781ms
11 Accuracy: 0.098, trained in 11692ms, evaluated in 769ms
12 Accuracy: 0.1009, trained in 11817ms, evaluated in 789ms
13 
