10000 data loaded from mnist_test_normalized.data
60000 data loaded from mnist_train_normalized.data
0 Accuracy: 0.1142 evaluated in 997ms
1 Accuracy: 0.6384, trained in 13304ms, evaluated in 693ms
2 Accuracy: 0.6894, trained in 18127ms, evaluated in 724ms
3 Accuracy: 0.7911, trained in 12188ms, evaluated in 704ms
4 Accuracy: 0.8326, trained in 12395ms, evaluated in 1037ms
5 Accuracy: 0.8542, trained in 16826ms, evaluated in 745ms
6 Accuracy: 0.8603, trained in 17707ms, evaluated in 1014ms
7 Accuracy: 0.8743, trained in 19151ms, evaluated in 1057ms
8 Accuracy: 0.8693, trained in 19710ms, evaluated in 723ms
9 Accuracy: 0.8593, trained in 14933ms, evaluated in 840ms
10 Accuracy: 0.9016, trained in 18183ms, evaluated in 1076ms
11 Accuracy: 0.9051, trained in 19454ms, evaluated in 1074ms
12 Accuracy: 0.9034, trained in 16632ms, evaluated in 1065ms
13 Accuracy: 0.9058, trained in 16102ms, evaluated in 728ms
14 Accuracy: 0.909, trained in 18749ms, evaluated in 1062ms
15 Accuracy: 0.9231, trained in 16344ms, evaluated in 1068ms
16 Accuracy: 0.9223, trained in 19574ms, evaluated in 1064ms
17 Accuracy: 0.918, trained in 19481ms, evaluated in 773ms
18 Accuracy: 0.9107, trained in 17775ms, evaluated in 1083ms
19 Accuracy: 0.8701, trained in 17754ms, evaluated in 1074ms
20 Accuracy: 0.8109, trained in 16860ms, evaluated in 724ms
21 Accuracy: 0.789, trained in 12912ms, evaluated in 731ms
22 Accuracy: 0.8786, trained in 14894ms, evaluated in 1049ms
23 Accuracy: 0.8676, trained in 18686ms, evaluated in 1070ms
24 Accuracy: 0.8755, trained in 17906ms, evaluated in 1081ms
25 Accuracy: 0.888, trained in 20781ms, evaluated in 1069ms
26 Accuracy: 0.8712, trained in 20581ms, evaluated in 1084ms
27 Accuracy: 0.8814, trained in 18474ms, evaluated in 847ms
28 Accuracy: 0.9006, trained in 16213ms, evaluated in 1087ms
29 Accuracy: 0.8631, trained in 19612ms, evaluated in 1079ms
30 Accuracy: 0.8825, trained in 19976ms, evaluated in 724ms
31 Accuracy: 0.8835, trained in 15957ms, evaluated in 758ms
32 Accuracy: 0.8956, trained in 15306ms, evaluated in 746ms
33 Accuracy: 0.9038, trained in 18609ms, evaluated in 1077ms
34 Accuracy: 0.9096, trained in 18109ms, evaluated in 738ms
35 Accuracy: 0.9001, trained in 12792ms, evaluated in 984ms
36 Accuracy: 0.8895, trained in 16220ms, evaluated in 1081ms
37 Accuracy: 0.8848, trained in 15732ms, evaluated in 733ms
38 Accuracy: 0.9011, trained in 21178ms, evaluated in 1082ms
39 Accuracy: 0.8785, trained in 16667ms, evaluated in 1102ms
40 Accuracy: 0.8964, trained in 17864ms, evaluated in 967ms
41 Accuracy: 0.8993, trained in 20665ms, evaluated in 1078ms
42 Accuracy: 0.907, trained in 19057ms, evaluated in 1085ms
43 Accuracy: 0.8798, trained in 19071ms, evaluated in 1082ms
44 Accuracy: 0.9039, trained in 12954ms, evaluated in 734ms
45 Accuracy: 0.9064, trained in 13108ms, evaluated in 1037ms
46 Accuracy: 0.9029, trained in 14234ms, evaluated in 732ms
47 Accuracy: 0.8916, trained in 16350ms, evaluated in 949ms
48 Accuracy: 0.8838, trained in 19720ms, evaluated in 735ms
49 Accuracy: 0.8642, trained in 16251ms, evaluated in 1078ms
50 Accuracy: 0.866, trained in 17389ms, evaluated in 1080ms
51 Accuracy: 0.8671, trained in 15236ms, evaluated in 1073ms
52 Accuracy: 0.8659, trained in 20784ms, evaluated in 775ms
53 Accuracy: 0.8679, trained in 17536ms, evaluated in 1087ms
54 Accuracy: 0.8453, trained in 15630ms, evaluated in 1077ms
55 Accuracy: 0.865, trained in 19960ms, evaluated in 1068ms
56 Accuracy: 0.8384, trained in 16885ms, evaluated in 1074ms
57 Accuracy: 0.8673, trained in 16455ms, evaluated in 1072ms
58 Accuracy: 0.8648, trained in 18745ms, evaluated in 1039ms
59 Accuracy: 0.8677, trained in 18935ms, evaluated in 1072ms
60 Accuracy: 0.8486, trained in 19866ms, evaluated in 1030ms
61 Accuracy: 0.8533, trained in 20437ms, evaluated in 1085ms
62 Accuracy: 0.8617, trained in 20217ms, evaluated in 797ms
63 Accuracy: 0.8535, trained in 18118ms, evaluated in 1046ms
64 Accuracy: 0.8469, trained in 18880ms, evaluated in 898ms
65 Accuracy: 0.8599, trained in 18683ms, evaluated in 1069ms
66 Accuracy: 0.8463, trained in 18812ms, evaluated in 1077ms
67 Accuracy: 0.851, trained in 18522ms, evaluated in 768ms
68 Accuracy: 0.8562, trained in 13986ms, evaluated in 1084ms
69 Accuracy: 0.8451, trained in 18361ms, evaluated in 1034ms
70 Accuracy: 0.8603, trained in 16185ms, evaluated in 1082ms
71 Accuracy: 0.8665, trained in 16693ms, evaluated in 1021ms
72 Accuracy: 0.8635, trained in 16773ms, evaluated in 1090ms
73 Accuracy: 0.8593, trained in 15995ms, evaluated in 738ms
74 Accuracy: 0.8555, trained in 17395ms, evaluated in 754ms
75 Accuracy: 0.8758, trained in 16540ms, evaluated in 1089ms
76 Accuracy: 0.8694, trained in 18943ms, evaluated in 1039ms
77 Accuracy: 0.8612, trained in 18361ms, evaluated in 758ms
78 Accuracy: 0.8423, trained in 19300ms, evaluated in 1078ms
79 Accuracy: 0.8663, trained in 17961ms, evaluated in 1035ms
80 Accuracy: 0.8586, trained in 18119ms, evaluated in 833ms
81 Accuracy: 0.8079, trained in 19182ms, evaluated in 1083ms
82 Accuracy: 0.8543, trained in 16413ms, evaluated in 1034ms
83 Accuracy: 0.8459, trained in 15004ms, evaluated in 1083ms
84 Accuracy: 0.86, trained in 19139ms, evaluated in 1067ms
